min,avg,max,time,date
15.725,17.246,20.035,15:58:49,2023-06-12
15.926,17.014,19.275,15:59:50,2023-06-12
15.594,20.817,50.079,16:00:50,2023-06-12
15.833,17.797,22.486,16:01:50,2023-06-12
15.656,18.018,20.581,16:02:50,2023-06-12
15.731,17.414,19.672,16:03:50,2023-06-12
15.843,17.810,20.236,16:04:50,2023-06-12
15.517,16.994,19.095,16:05:50,2023-06-12
16.511,18.723,29.882,16:06:50,2023-06-12
15.286,17.910,20.467,16:07:50,2023-06-12
15.671,17.986,22.333,16:08:50,2023-06-12
15.940,17.803,19.864,16:09:50,2023-06-12
15.652,17.495,20.305,16:10:50,2023-06-12
15.829,17.236,19.766,16:11:50,2023-06-12
15.396,18.538,20.622,16:12:50,2023-06-12
16.071,18.263,20.196,16:13:50,2023-06-12
16.219,18.180,19.918,16:14:50,2023-06-12
15.640,26.408,124.710,16:15:50,2023-06-12
15.693,16.439,18.853,16:16:50,2023-06-12
15.497,17.222,20.104,16:17:50,2023-06-12
15.753,16.583,18.026,16:18:50,2023-06-12
15.628,17.308,20.017,16:19:50,2023-06-12
16.197,18.067,23.321,16:20:50,2023-06-12
15.860,17.492,21.774,16:21:50,2023-06-12
16.073,17.460,19.738,16:22:50,2023-06-12
15.188,16.546,18.392,16:23:50,2023-06-12
16.151,17.660,22.913,16:24:50,2023-06-12
15.436,25.320,112.079,16:25:50,2023-06-12
15.661,17.796,21.382,16:26:50,2023-06-12
15.096,16.662,18.777,16:27:50,2023-06-12
16.078,17.380,23.353,16:28:50,2023-06-12
15.852,18.452,23.790,16:29:50,2023-06-12
15.192,26.139,125.018,16:30:50,2023-06-12
15.630,16.762,19.715,16:31:50,2023-06-12
15.343,17.372,20.011,16:32:50,2023-06-12
16.241,17.623,21.214,16:33:50,2023-06-12
16.008,16.437,17.491,16:34:50,2023-06-12
15.767,21.384,66.877,16:35:50,2023-06-12
15.582,16.963,19.977,16:36:50,2023-06-12
16.062,17.780,20.377,16:37:50,2023-06-12
15.643,16.969,20.743,16:38:50,2023-06-12
15.641,18.757,42.292,16:39:50,2023-06-12
